ptr,TOT_ENR_M,TOT_ENR_F,TOT_ENR,Mean_rating
6.2777777,58,52,110,2.75
10.587399,252,181,433,2.625
15.129703,5676,5242,10918,3
10.338346,61,76,137,2.875
10.902941,195,222,417,2.428571429
13.66569,3259,3267,6526,3.375
13.894925,1643,1626,3269,3.75
15.910489,1025,1002,2027,3
8.4010839,37,38,75,3.875
12.361558,209,172,381,2.625
10.407569,82,70,152,1.875
9.469697,57,69,126,3
7.5789475,37,39,76,2
8.19209,73,56,129,3
9.8747234,128,134,262,3.125
9.8924732,48,53,101,2.714285714
13.603435,253,237,490,2.125
11.677765,336,359,695,2
13.333333,617,527,1144,2.875
10.787367,228,252,480,2.875
12.133333,166,179,345,2.714285714
12.975736,1141,1011,2152,2.5
11.419354,101,112,213,2.625
13.384052,227,240,467,3.25
4.070981,19,27,46,3.875
10.222222,49,53,102,3
7.2319202,15,17,32,3.5
11.059908,89,96,185,2.625
8.2306166,111,126,237,3.125
8.9333334,66,69,135,3
6.5956368,67,66,133,3.571428571
7.563025,10,10,20,4
6.1823802,60,51,111,2.25
13.546322,993,991,1984,2
9.9958353,148,114,262,3.25
11.692405,201,162,363,3.5
15.733334,61,55,116,3.75
9.2052603,88,76,164,3.375
10.493827,93,102,195,2.875
9.4666662,87,69,156,2
13.908561,1486,1420,2906,3
17.157084,12337,11965,24302,2.125
11.658457,68,81,149,3.5
15.794078,5835,5591,11426,3
9.7257929,104,126,230,3.5
10.5,25,21,46,2.428571429
11.234397,44,56,100,3.875
9.0600224,89,66,155,3.714285714
10.186199,95,74,169,2.875
9.2482424,74,85,159,2.625
11.613518,239,251,490,4
11.648892,120,171,291,3
10.294852,89,101,190,4
8.2857141,54,55,109,3
11.587088,505,524,1029,3.875
10.547264,109,100,209,3.5
10.166667,143,113,256,3
14.000693,5583,5472,11055,3.125
10.368488,297,279,576,4
12.634409,348,318,666,2.75
13.00275,736,829,1565,3
15.187648,1049,962,2011,2.5
10.685663,63,63,126,4
10.114504,47,53,100,3
6.7235861,95,90,185,3.25
13.070977,399,379,778,3.875
12.02046,420,361,781,4
9.7271652,98,87,185,2.375
9.102787,110,105,215,2.875
12.299808,380,345,725,2.75
12.378005,274,244,518,3.125
10.802732,295,263,558,3.375
15.088995,27328,25999,53327,4
7,33,48,81,2.375
11.652436,120,104,224,4
9.3500566,230,189,419,2.625
9.2920351,72,72,144,3.625
11.556982,201,183,384,3.875
12.081802,661,585,1246,3
12.221706,249,267,516,3.875
10.238215,109,101,210,4
14.862958,24429,23336,47765,3.375
11.843992,185,199,384,2
8.0873671,71,71,142,3
15.941758,850,836,1686,2.875
11.055555,81,97,178,3.666666667
15.351808,3592,3471,7063,4
11.661442,86,86,172,3.875
7.3432837,62,62,124,3.375
9.6999998,247,222,469,3.75
11.29635,185,203,388,4
10.304636,201,215,416,3.428571429
11.432122,359,369,728,2.5
15.376845,6109,5767,11876,3
13.087071,118,140,258,2.625
8.6551266,89,75,164,2.75
11.870709,400,376,776,3.25
10.8,125,131,256,2.875
11.551819,340,313,653,4
9.4193544,129,132,261,2.75
11.604821,237,232,469,2.875
13.629835,4222,3867,8089,3.5
12.808235,273,263,536,2.875
11.072133,265,261,526,3.125
13.215077,516,462,978,3.571428571
13.803681,365,346,711,3
10.166667,142,147,289,3.25
11.250436,161,163,324,2.5
10.059172,401,383,784,4
10.783055,312,237,549,4
14.831258,4169,3871,8040,4
10.436603,155,191,346,3.625
14.6543,467,408,875,2.125
13.585999,674,652,1326,2.625
9.618926,382,325,707,2.5
11.101475,68,54,122,4
12.305195,177,213,390,4
15.263383,915,848,1763,3.375
11.833937,488,454,942,3.625
10.862809,426,328,754,2.5
11.831933,195,162,357,3.75
12.933912,396,388,784,3
12.487432,310,309,619,2.75
12.055578,201,147,348,3.25
14.088003,965,933,1898,3.5
11.699651,83,119,202,3.5
